"Barry"
"https://www.eia.gov/beta/electricity/data/browser/#/plant/3?freq=M&start=202001&end=202412&ctype=linechart&ltype=sourcekey&tab=generation&columnchart=ELEC.PLANT.GEN.3-ALL-ALL.M&maptype=0&pin=&linechart=ELEC.PLANT.GEN.3-ALL-ALL.M~ELEC.PLANT.GEN.3-ANT-ALL.M~ELEC.PLANT.GEN.3-BIT-ALL.M~ELEC.PLANT.GEN.3-DFO-ALL.M~ELEC.PLANT.GEN.3-JF-ALL.M~ELEC.PLANT.GEN.3-KER-ALL.M~ELEC.PLANT.GEN.3-LIG-ALL.M~ELEC.PLANT.GEN.3-NG-ALL.M~ELEC.PLANT.GEN.3-PC-ALL.M~ELEC.PLANT.GEN.3-RC-ALL.M~ELEC.PLANT.GEN.3-RFO-ALL.M~ELEC.PLANT.GEN.3-SC-ALL.M~ELEC.PLANT.GEN.3-SUB-ALL.M~ELEC.PLANT.GEN.3-WC-ALL.M~ELEC.PLANT.GEN.3-NG-CA.M~ELEC.PLANT.GEN.3-DFO-CT.M~ELEC.PLANT.GEN.3-NG-CT.M~ELEC.PLANT.GEN.3-SUB-CT.M~ELEC.PLANT.GEN.3-ANT-ST.M~ELEC.PLANT.GEN.3-BIT-ST.M~ELEC.PLANT.GEN.3-DFO-ST.M~ELEC.PLANT.GEN.3-JF-ST.M~ELEC.PLANT.GEN.3-KER-ST.M~ELEC.PLANT.GEN.3-LIG-ST.M~ELEC.PLANT.GEN.3-NG-ST.M~ELEC.PLANT.GEN.3-PC-ST.M~ELEC.PLANT.GEN.3-RC-ST.M~ELEC.PLANT.GEN.3-RFO-ST.M~ELEC.PLANT.GEN.3-SC-ST.M~ELEC.PLANT.GEN.3-SUB-ST.M~ELEC.PLANT.GEN.3-WC-ST.M"
"Fri Mar 13 2026 11:00:01 GMT-0500 (Central Daylight Time)"
"Source: U.S. Energy Information Administration"
" ","units","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020","Sep 2020","Oct 2020","Nov 2020","Dec 2020","Jan 2021","Feb 2021","Mar 2021","Apr 2021","May 2021","Jun 2021","Jul 2021","Aug 2021","Sep 2021","Oct 2021","Nov 2021","Dec 2021","Jan 2022","Feb 2022","Mar 2022","Apr 2022","May 2022","Jun 2022","Jul 2022","Aug 2022","Sep 2022","Oct 2022","Nov 2022","Dec 2022","Jan 2023","Feb 2023","Mar 2023","Apr 2023","May 2023","Jun 2023","Jul 2023","Aug 2023","Sep 2023","Oct 2023","Nov 2023","Dec 2023","Jan 2024","Feb 2024","Mar 2024","Apr 2024","May 2024","Jun 2024","Jul 2024","Aug 2024","Sep 2024","Oct 2024","Nov 2024","Dec 2024"
"Net generation-combined-cycle combustion turbine part-subbituminous coal","megawatthours","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Net generation-combined-cycle combustion turbine part-subbituminous coal","megawatthours",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Net generation-steam turbine-anthracite coal","megawatthours","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Net generation-steam turbine-bituminous coal","megawatthours","--",-152,71191,266681,165800,189365,331356,350105,347191,424258,335570,144471,0,182175,353695,298537,360892,355929,481810,473355,491348,71862,251627,357169,206902,375214,374403,202101,342225,384635,374914,266178,175615,222251,248535,141529,"--",6426,224249,81487,197857,339672,317431,204613,110554,46716,0,0,74700,-4538,0,83997,0,75098,114680,0,20325,322168,11098,0
"Net generation-steam turbine-distillate fuel oil","megawatthours","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Net generation-steam turbine-jet fuel","megawatthours","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Net generation-steam turbine-kerosene","megawatthours","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Net generation-steam turbine-lignite coal","megawatthours","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Net generation-steam turbine-natural gas","megawatthours","--",-3392,3566,54081,32772,26907,15159,1811,4448,7835,7207,5050,-5642,10857,6301,7741,12549,14035,16466,29165,65041,8726,12487,9106,18192,14207,7489,10817,23856,71826,58860,13222,12942,11772,45037,137871,"--",31107,48266,83057,77400,16059,96492,106463,67110,71733,6128,-5864,59224,-1665,-4938,4435,5820,29163,36775,34781,3239,6843,731,10864
"Net generation-steam turbine-petroleum coke","megawatthours","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Net generation-steam turbine-refined coal","megawatthours","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Net generation-steam turbine-residual fuel oil","megawatthours","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Net generation-steam turbine-synthetic coal","megawatthours","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Net generation-steam turbine-subbituminous coal","megawatthours","--",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"--",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Net generation-steam turbine-waste/other coal","megawatthours","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
