UTILITY_ID,UTILNAME,STATE_CODE,YEAR,MONTH,RES_REV (Thousand $),RES_SALES (MWh),RES_CONS ,COM_REV (Thousand $),COM_SALES (MWh),COM_CONS,IND_REV (Thousand $),IND_SALES (MWh),IND_CONS,OTH_REV (Thousand $),OTH_SALES (MWh),OTH_CONS,TOT_REV (Thousand $),TOT_SALES (MWh),TOT_CONS
15270,Potomac Electric Power Co,DC,2007R,1,15797,158270,209154,27482,229658,22415,0,0,0,0,0,0,43279,387928,231569
88888,Total EPM,DC,2007R,1,16058,160463,0,84200,757717,0,2303,27181,0,,,0,105278,972078,0
0,State Level Adjustment,DE,2007R,1,2878,20779,0,18114,190222,0,15967,189391,0,,,0,36959,400392,0
5027,Conectiv,DE,2007R,1,34401,260674,260508,15160,110968,27575,1616,31418,157,0,0,0,51177,403060,288240
5070,Delaware Electric Cooperative,DE,2007R,1,7993,83824,69834,1374,15108,7239,0,0,0,0,0,0,9367,98932,77073
5335,Dover City of,DE,2007R,1,1993,15659,18663,2631,19186,3419,1945,21171,42,0,0,0,6569,56016,22124
13519,Newark City of,DE,2007R,1,1026,7410,10073,743,5764,1354,1870,16588,52,0,0,0,3639,29762,11479
88888,Total EPM,DE,2007R,1,48291,388346,0,38022,341248,0,21398,258568,0,,,0,107711,988162,0
0,State Level Adjustment,FL,2007R,1,196899,1889568,0,109324,1124007,0,26059,326081,0,,,0,332282,3339667,0
6452,Florida Power & Light Co.,FL,2007R,1,489393,4282514,3953507,391958,3927874,490973,31079,344474,21225,841,8745,23,913271,8563607,4465728
6455,Progress Energy Florida,FL,2007R,1,154478,1304777,1378957,107980,1173780,184558,23443,283885,2736,0,0,0,285901,2762442,1566251
6457,Florida Public Utilities Co,FL,2007R,1,2071,27341,23619,1736,25958,4529,584,11830,2,0,0,0,4391,65129,28150
7801,Gulf Power Co,FL,2007R,1,40470,431766,366074,24219,301918,53921,9223,155705,304,0,0,0,73912,889389,420299
9617,Jacksonville Electric Authority,FL,2007R,1,38151,426785,362813,24948,328827,47392,13743,239625,221,24,351,1,76866,995588,410427
