UTILITY_ID,UTILNAME,STATE_CODE,YEAR,MONTH,RES_REV (Thousand $),RES_SALES (MwH),RES_CONS ,COM_REV (Thousand $),COM_SALES (MwH),COM_CONS,IND_REV (Thousand $),IND_SALES (MwH),IND_CONS,OTH_REV (Thousand $),OTH_SALES (MwH),OTH_CONS,TOT_REV (Thousand $),TOT_SALES (MwH),TOT_CONS
88888,Total EPM,DC,2006,1,17248,184740,0,50365,583698,0,3031,22620,0,,,0,72304,812242,0
0,State Level Adjustment,DE,2006,1,3199,17582,0,217,-7528,0,6874,97603,0,,,0,10290,107657,0
5027,Conectiv,DE,2006,1,23594,296400,260335,20454,299698,31695,7659,134605,264,0,0,0,51707,730703,292294
5070,Delaware Electric Cooperative,DE,2006,1,7796,90569,67199,1183,14630,6725,0,0,0,0,0,0,8979,105199,73924
5335,Dover City of,DE,2006,1,1724,16911,17947,1703,19591,3246,1565,23161,39,0,0,0,4992,59663,21232
13519,Newark City of,DE,2006,1,871,7761,9972,663,5954,1346,1425,16015,51,0,0,0,2959,29730,11369
88888,Total EPM,DE,2006,1,37184,429223,0,24220,332345,0,17523,271384,0,,,0,78927,1032952,0
0,State Level Adjustment,FL,2006,1,200509,1942915,0,100454,1072171,0,24889,323043,0,,,0,325853,3338129,0
6452,Florida Power & Light Co,FL,2006,1,484993,4153398,3870447,366046,3546392,478980,26252,317120,19782,845,8225,23,878136,8025135,4369232
6455,Progress Energy Florida,FL,2006,1,185285,1573329,1396114,104017,1102011,183020,28136,344867,2696,0,0,0,317438,3020207,1581830
6457,Florida Public Utilities Co,FL,2006,1,2011,31241,23329,1438,26055,4469,383,11820,2,0,0,0,3832,69116,27800
7801,Gulf Power Co,FL,2006,1,32166,392358,355577,17237,250061,53987,7658,154825,296,0,0,0,57061,797244,409860
9617,Jacksonville Electric Authority,FL,2006,1,46352,521839,356158,23635,311660,43162,10153,182413,217,25,366,1,80165,1016278,399538
18454,Tampa Electric Co,FL,2006,1,75335,684312,568763,58667,603911,76679,13919,181381,1351,5,48,1,147926,1469652,646794
88888,Total EPM,FL,2006,1,1026651,9299392,0,671494,6912261,0,111390,1515469,0,,,0,1810411,17735761,0
0,State Level Adjustment,GA,2006,1,161649,1912236,0,53943,680286,0,30343,630395,0,,,0,245936,3222917,0
3408,Chattanooga City of,GA,2006,1,1035,14593,9673,337,4247,1367,120,1906,3,0,0,0,1492,20746,11043
3916,Cobb Electric Membership Corp,GA,2006,1,16673,190469,171821,7246,88156,19679,971,21705,43,0,0,0,24890,300330,191543
7140,Georgia Power Co,GA,2006,1,156929,2081305,1836693,175602,2458340,274265,95968,2005299,8191,819,15346,1,429318,6560290,2119150
9601,Jackson Electric Member Corp,GA,2006,1,20956,257443,174883,9437,107676,17070,2481,47555,80,,,,32874,412674,192033
16687,Savannah Electric & Power Co,GA,2006,1,15913,159196,128403,11100,116544,19314,3439,62710,85,0,0,0,30452,338450,147802
88888,Total EPM,GA,2006,1,373155,4615242,0,257665,3455249,0,133322,2769570,0,,,0,764962,10855407,0
0,State Level Adjustment,HI,2006,1,-27,0,0,-26,0,0,-15,0,0,,,0,-68,1,0
8287,Hawaii Electric Light Co Inc,HI,2006,1,11759,38695,60956,11089,37645,13058,4923,19537,61,0,0,0,27771,95877,74075
10071,Kauai Island Utility Cooperative,HI,2006,1,4256,13966,25813,3241,10398,4621,4010,14064,200,0,0,0,11507,38428,30634
11843,Maui Electric Co Ltd,HI,2006,1,10089,38398,54111,8785,32858,9696,7650,32924,135,0,0,0,26524,104180,63942
19547,Hawaiian Electric Co Inc,HI,2006,1,35315,178942,258576,35003,194965,33301,38836,251300,359,,,,109154,625207,292236
88888,Total EPM,HI,2006,1,61392,270001,0,58092,275866,0,55404,317825,0,,,0,174888,863693,0
0,State Level Adjustment,IA,2006,1,35656,424642,0,16006,247451,0,12087,260544,0,,,0,63754,932707,0
471,Amana Society Service Co,IA,2006,1,50,590,699,58,692,178,341,6425,1,0,0,0,449,7707,878
9417,Interstate Power and Light Co,IA,2006,1,39282,371192,407310,24220,302893,71662,29833,554147,2587,,,,93335,1228232,481559
12341,MidAmerican Energy Co,IA,2006,1,37221,459792,532611,25092,402560,85233,23117,614632,1212,0,0,0,85430,1476984,619056
88888,Total EPM,IA,2006,1,112209,1256216,0,65376,953596,0,65378,1435748,0,,,0,242968,3645630,0
0,State Level Adjustment,ID,2006,1,5140,82457,0,2279,36682,0,789,23602,0,,,0,8207,142742,0
9187,Idaho Falls City of,ID,2006,1,2367,37073,21068,1807,25520,3273,443,8331,8,0,0,0,4617,70924,24349
9191,Idaho Power Co,ID,2006,1,30915,494591,368800,14025,299874,54839,9391,274530,16559,,,,54331,1068995,440198
10454,Kootenai Electric Coop Inc,ID,2006,1,1799,30161,19160,503,8522,1673,73,1593,60,0,0,0,2375,40276,20893
11273,Lower Valley Energy Inc,ID,2006,1,61,1192,1195,13,268,163,138,3808,41,0,0,0,212,5268,1399
14354,PacifiCorp,ID,2006,1,3260,70839,52529,2254,37705,7598,4295,140975,5420,0,0,0,9809,249519,65547
16565,Salmon River Electric Coop Inc,ID,2006,1,238,3213,2021,124,1992,443,388,10790,2,,,,750,15995,2466
20169,Avista Corp,ID,2006,1,7988,123929,99117,5505,83533,15870,4388,106772,500,,,,17881,314234,115487
22814,Raft Rural Elec Coop Inc,ID,2006,1,133,2320,1232,69,1504,246,1,8,326,0,0,0,203,3832,1804
88888,Total EPM,ID,2006,1,51901,845775,0,26579,495600,0,19906,570409,0,,,0,98385,1911785,0
0,State Level Adjustment,IL,2006,1,47086,553414,0,66583,680754,0,62090,1779800,0,,,0,175762,3014186,0
3252,Central Illinois Light Co,IL,2006,1,11232,185580,189788,9683,158060,24368,5881,117548,689,0,0,0,26796,461188,214845
3253,Central Illinois Pub Serv Co,IL,2006,1,20754,353080,338672,17667,332634,56315,15317,422910,683,42,4078,1,53780,1112702,395671
4110,Commonwealth Edison Co,IL,2006,1,185353,2404001,3367151,170758,2487436,345838,68646,1258527,1305,2648,51402,2,427405,6201366,3714296
9208,Illinois Power Co,IL,2006,1,35776,544499,557733,24044,326046,75171,14605,315056,306,1,8,4,74426,1185609,633214
9417,Interstate Power and Light Co,IL,2006,1,704,9031,10773,319,4027,1931,1047,19339,112,,,,2070,32397,12816
12341,MidAmerican Energy Co,IL,2006,1,4036,55580,75219,2971,51033,9125,2082,55203,88,0,0,0,9089,161816,84432
13032,Mt Carmel Public Utility Co,IL,2006,1,438,4846,4632,125,1304,842,343,6289,104,0,0,0,906,12439,5578
17535,South Beloit Wtr Gas & Elec,IL,2006,1,503,6665,8410,271,3877,963,402,6205,45,,,,1176,16747,9418
88888,Total EPM,IL,2006,1,305882,4116696,0,292421,4045171,0,170413,3980877,0,,,0,771410,12198450,0
0,State Level Adjustment,IN,2006,1,66931,865532,0,20783,302964,0,27766,546244,0,,,0,115480,1714739,0
261,AGC Division of APG Inc,IN,2006,1,0,0,0,0,0,0,9356,394278,1,0,0,0,9356,394278,1
9273,Indianapolis Power & Light Co,IN,2006,1,29701,468477,415356,12014,163533,45941,31556,605002,5095,0,0,0,73271,1237012,466392
9324,Indiana Michigan Power Co,IN,2006,1,31632,481719,399662,19080,339461,51781,22998,549388,4157,0,0,0,73710,1370568,455600
13756,Northern Indiana Pub Serv Co,IN,2006,1,29078,282907,395432,28192,314918,52029,40086,822746,2514,143,1649,1,97499,1422220,449976
