UTILITY_ID,UTILNAME,STATE_CODE,YEAR,MONTH,RES_REV (Thousand $),RES_SALES (MWh),RES_CONS ,COM_REV (Thousand $),COM_SALES (MWh),COM_CONS,IND_REV (Thousand $),IND_SALES (MWh),IND_CONS,TRA_REV (Thousand $),TRA_SALES (MWh),TRA_CONS,TOT_REV (Thousand $),TOT_SALES (MWh),TOT_CONS
9273,Indianapolis Power & Light Co,IN,2010,1,41054.422,626914.427,417354,16641.698,206251.869,47608,33611.4,569352.59,4697,0,0,0,91307.52,1402518.886,469659
9324,Indiana Michigan Power Co,IN,2010,1,46813.795,585920.355,398337,23875.057,357948.14,53186,26817.158,516468.98,4147,0,0,0,97506.01,1460337.475,455670
13756,Northern Indiana Pub Serv Co,IN,2010,1,35044,340936,400156,30044,328380,54334,38432,677729,2440,182,2167,1,103702,1349212,456931
15470,Duke Energy Indiana Inc,IN,2010,1,90782,1136821,682597,52007,707046,100905,41906,725258,2796,0,0,0,184695,2569125,786298
17633,Southern Indiana Gas & Elec Co,IN,2010,1,20034.845,174598.084,127944,11709.331,105030.996,18407,14668.48,200079.944,107,0,0,0,46412.656,479709.024,146458
88888,Total EPM,IN,2010,1,330321,3905597,2748528,161494,2031273,341095,207881,3710377,18800,182,2167,1,699878,9649413,3108424
0,Adjustment 2010,KS,2010,1,35500.712,336669.746,301954,23336.122,245196.653,86859,13516.578,215976.648,10176,0,0,0,72353.412,797843.047,398989
3892,City of Coffeyville,KS,2010,1,452.72,5193,5254,536.74,5995,995,2675.63,50501,10,0,0,0,3665.09,61689,6259
5860,Empire District Electric Co,KS,2010,1,1313.246,15524.988,8632,503.8,5361.198,1393,359.217,5148.727,50,0,0,0,2176.263,26034.913,10075
9996,Kansas City City of,KS,2010,1,4690,59824,56925,6140,84585,7154,3167,57514,94,0,0,0,13997,201923,64173
10000,Kansas City Power & Light Co,KS,2010,1,27682.73,347578.588,211232,21074.138,320840.749,26612,1931.34,28930.065,1006,0,0,0,50688.208,697349.402,238850
10005,Kansas Gas & Electric Co,KS,2010,1,25779,328140,278445,15786,230139,35071,13679,272828,3621,0,0,0,55244,831107,317137
12524,Midwest Energy Inc,KS,2010,1,2983.496,32042.551,29790,3107.377,35098.787,12550,3517.584,50165.108,6131,0,0,0,9608.457,117306.446,48471
22500,Westar Energy Inc,KS,2010,1,32137,383148,318749,24615,358453,47833,8142,135782,1247,0,0,0,64894,877383,367829
88888,Total EPM,KS,2010,1,130539,1508121,1210981,95099,1285669,218467,46988,816846,22335,0,0,0,272626,3610636,1451783
0,Adjustment 2010,KY,2010,1,90001.633,1093628.695,696509,27085.636,325174.502,80493,30093.24,530078.505,2120,0,0,0,147180.509,1948881.702,779122
5748,Electric Energy Inc,KY,2010,1,0,0,0,0,0,0,35,560,1,0,0,0,35,560,1
