UTILITYID,UTILNAME,STATE,YEAR,MONTH,RES_REV (Thousand $),RES_SALES (MwH),RES_CONS ,COM_REV (Thousand $),COM_SALES (MwH),COM_CONS,IND_REV (Thousand $),IND_SALES (MwH),IND_CONS,OTH_REV (Thousand $),OTH_SALES (MwH),OTH_CONS,TOT_REV (Thousand $),TOT_SALES (MwH),TOT_CONS
5070,Delaware Electric Cooperative,DE,2004,1,6506,83732,61249,920,12529,5937,56,927,1,0,0,0,7482,97188,67187
5335,Dover City of,DE,2004,1,1551,16926,17703,1502,18929,2862,1467,25919,36,0,0,0,4520,61774,20601
13519,Newark City of,DE,2004,1,715,8090,9859,490,5811,1328,1013,18300,50,,,,2218,32201,11237
88888,Total EPM,DE,2004,1,33670,430225,0,22908,336244,0,16465,289107,0,,,0,73044,1055576,0
0,State Level Adjustment,FL,2004,1,179535,2149715,0,79702,1045616,0,19540,298055,0,,,0,278783,3493390,0
6452,Florida Power & Light Co,FL,2004,1,366347,4029564,3702371,256248,3283539,457620,21589,347697,17749,581,7915,23,644765,7668715,4177763
6455,Progress Energy Florida,FL,2004,1,149563,1600761,1348442,78639,1107148,177415,21234,349755,2727,,,,249436,3057664,1528584
6457,Florida Public Utilities Co,FL,2004,1,1804,32310,22699,1315,25494,4312,272,8430,2,0,0,0,3391,66234,27013
7801,Gulf Power Co,FL,2004,1,35750,481151,343273,17085,262924,51854,7003,156338,281,,,,59838,900413,395408
9617,Jacksonville Electric Authority,FL,2004,1,35904,533851,340292,15043,277839,41775,7787,185412,203,5,91,1,58739,997193,382271
18454,Tampa Electric Co,FL,2004,1,68294,690460,539905,50567,582638,73349,13759,212692,1313,4,50,1,132624,1485840,614568
88888,Total EPM,FL,2004,1,837197,9517812,0,498599,6585198,0,91184,1558379,0,,,0,1427576,17669449,0
0,State Level Adjustment,GA,2004,1,168109,2196621,0,55968,741144,0,26250,624845,0,,,0,250328,3562610,0
3916,Cobb Electric Membership Corp,GA,2004,1,14650,169909,155653,6724,82227,17965,634,17743,43,,,,22008,269879,173661
7140,Georgia Power Co,GA,2004,1,136606,2141713,1773693,137322,2248748,262306,80558,2097566,7852,733,16547,1,355219,6504574,2043852
