UTILITYID,UTILNAME,STATE_CODE,YEAR,MONTH," RESIDENTIAL REVENUES ($1,000) ", RESIDENTIAL SALES (MWh) , RESIDENTIAL CUSTOMERS ," COMMERCIAL REVENUES ($1,000) ", COMMERCIAL SALES (MWh) , COMMERCIAL CUSTOMERS ," INDUSTRIAL REVENUES ($1,000) ", INDUSTRIAL SALES (MWh) , INDUSTRIAL CUSTOMERS ," TRANSPORTATION REVENUES ($1,000) ", TRANSPORTATION SALES (MWh) , TRANSPORTATION CUSTOMERS ," TOTAL REVENUES ($1,000) ", TOTAL SALES (MWh) , TOTAL CUSTOMERS 
5860,Empire District Electric Co,MO,2012,5," 11,899.89 "," 95,300.05 "," 124,528 "," 11,827.07 "," 114,382.23 "," 23,119 "," 5,529.21 "," 74,865.59 ", 283 , -   , -   , -   ," 29,256.17 "," 284,547.87 "," 147,930 "
9231,City of Independence - (MO),MO,2012,5," 5,603.66 "," 39,047.09 "," 51,105 "," 5,901.59 "," 47,310.69 "," 5,168 ", 476.71 ," 5,472.47 ", 10 , -   , -   , -   ," 11,981.96 "," 91,830.25 "," 56,283 "
10000,Kansas City Power & Light Co,MO,2012,5," 20,419.18 "," 181,758.86 "," 238,664 "," 33,566.51 "," 386,147.04 "," 31,178 "," 9,321.12 "," 139,059.55 "," 1,044 ", -   , -   , -   ," 63,306.80 "," 706,965.46 "," 270,886 "
12698,KCP&L Greater Missouri Operations Co.,MO,2012,5," 27,818.10 "," 245,364.49 "," 274,746 "," 24,513.41 "," 289,509.34 "," 38,441 "," 8,177.69 "," 127,991.12 ", 228 , -   , -   , -   ," 60,509.21 "," 662,864.95 "," 313,415 "
17833,City Utilities of Springfield - (MO),MO,2012,5," 5,555.06 "," 61,807.59 "," 95,627 "," 9,063.09 "," 118,154.95 "," 14,121 "," 2,309.41 "," 32,790.14 ", 286 , -   , -   , -   ," 16,927.56 "," 212,752.69 "," 110,034 "
19436,Union Electric Co - (MO),MO,2012,5," 114,002.35 "," 1,040,540.13 "," 1,035,343 "," 108,183.61 "," 1,287,516.93 "," 152,966 "," 37,394.86 "," 739,805.72 "," 4,362 ", 85.96 ," 1,409.30 ", 1 ," 259,666.77 "," 3,069,272.08 "," 1,192,672 "
88888,Total EPM,MO,2012,5," 268,697.00 "," 2,466,005.00 "," 2,697,712 "," 225,395.00 "," 2,600,480.00 "," 372,452 "," 89,580.00 "," 1,524,523.00 "," 8,859 ", 85.00 ," 1,384.00 ", 1 ," 583,757.00 "," 6,592,391.00 "," 3,079,024 "
0,Adjustment 2012,MS,2012,5," 54,231.69 "," 499,043.66 "," 491,450 "," 34,203.61 "," 315,541.03 "," 93,585 "," 24,924.86 "," 314,988.39 "," 3,127 ", -   , -   , -   ," 113,360.16 "," 1,129,573.07 "," 588,162 "
3841,Coast Electric Power Assn,MS,2012,5," 9,286.00 "," 75,284.00 "," 72,024 "," 3,309.00 "," 28,602.00 "," 6,613 "," 1,285.00 "," 18,329.00 ", 8 , -   , -   , -   ," 13,880.00 "," 122,215.00 "," 78,645 "
6641,4-County Electric Power Assn,MS,2012,5," 4,172.00 "," 36,215.00 "," 37,399 "," 2,398.00 "," 19,472.00 "," 8,726 ", 990.00 ," 14,035.00 ", 17 , -   , -   , -   ," 7,560.00 "," 69,722.00 "," 46,142 "
12685,Entergy Mississippi Inc,MS,2012,5," 31,630.13 "," 374,536.42 "," 369,365 "," 32,327.82 "," 422,737.31 "," 67,448 "," 11,712.50 "," 200,816.81 "," 3,596 ", -   , -   , -   ," 75,670.45 "," 998,090.53 "," 440,409 "
12686,Mississippi Power Co,MS,2012,5," 18,933.00 "," 172,042.00 "," 152,667 "," 23,826.00 "," 275,830.00 "," 33,340 "," 24,165.00 "," 414,714.00 ", 475 , -   , -   , -   ," 66,924.00 "," 862,586.00 "," 186,482 "
17252,Singing River Elec Pwr Assn,MS,2012,5," 7,806.77 "," 67,005.45 "," 62,511 "," 3,030.34 "," 27,865.84 "," 8,321 ", 808.86 ," 10,780.46 ", 10 , -   , -   , -   ," 11,645.97 "," 105,651.75 "," 70,842 "
17647,Southern Pine Elec Power Assn,MS,2012,5," 7,185.00 "," 59,038.00 "," 60,322 "," 3,303.00 "," 28,862.00 "," 5,078 "," 5,469.00 "," 61,616.00 ", 46 , -   , -   , -   ," 15,957.00 "," 149,516.00 "," 65,446 "
18642,Tennessee Valley Authority,MS,2012,5, -   , -   , -   , -   , -   , -   ," 14,151.00 "," 354,343.00 ", 7 , -   , -   , -   ," 14,151.00 "," 354,343.00 ", 7 
19273,City of Tupelo - (MS),MS,2012,5, 944.00 ," 10,369.00 "," 10,914 "," 2,389.00 "," 25,109.00 "," 4,500 "," 1,087.00 "," 18,891.00 ", 11 , -   , -   , -   ," 4,420.00 "," 54,369.00 "," 15,425 "
88888,Total EPM,MS,2012,5," 134,189.00 "," 1,293,534.00 "," 1,256,652 "," 104,787.00 "," 1,144,019.00 "," 227,611 "," 84,593.00 "," 1,408,514.00 "," 7,297 ", -   , -   , -   ," 323,569.00 "," 3,846,066.00 "," 1,491,560 "
0,Adjustment 2012,MT,2012,5," 7,491.40 "," 70,108.25 "," 85,297 "," 5,459.77 "," 71,521.83 "," 12,160 "," 9,351.91 "," 218,019.50 "," 3,875 ", -   , -   , -   ," 22,303.08 "," 359,649.59 "," 101,332 "
6395,Flathead Electric Coop Inc,MT,2012,5," 3,773.00 "," 46,970.00 "," 51,836 "," 2,085.00 "," 32,124.00 "," 9,550 "," 1,007.00 "," 19,770.00 ", 81 , -   , -   , -   ," 6,865.00 "," 98,864.00 "," 61,467 "
8936,Hinson Power Company LLC,MT,2012,5, -   , -   , -   , -   , -   , -   , 4.48 , 744.00 , 1 , -   , -   , -   , 4.48 , 744.00 , 1 
12087,McKenzie Electric Coop Inc,MT,2012,5, 6.37 , 50.31 , 124 , 0.03 , 0.04 , 1 , -   , -   , -   , -   , -   , -   , 6.40 , 50.35 , 125 
12199,Montana-Dakota Utilities Co,MT,2012,5," 1,012.00 "," 12,991.00 "," 19,115 "," 1,316.00 "," 19,728.00 "," 5,471 "," 1,327.00 "," 25,723.00 ", 143 , -   , -   , -   ," 3,655.00 "," 58,442.00 "," 24,729 "
12692,"Missoula Electric Coop, Inc",MT,2012,5," 1,015.06 "," 10,308.61 "," 12,444 ", 266.12 ," 2,999.95 "," 1,188 ", 88.31 ," 1,335.33 ", 272 , -   , -   , -   ," 1,369.48 "," 14,643.89 "," 13,904 "
12825,NorthWestern Energy LLC - (MT),MT,2012,5," 17,088.82 "," 158,581.00 "," 273,954 "," 24,642.84 "," 241,961.63 "," 65,138 "," 2,914.83 "," 31,631.80 "," 1,490 ", -   , -   , -   ," 44,646.50 "," 432,174.42 "," 340,582 "
19156,Powder River Energy Corp,MT,2012,5, 3.36 , 36.98 , 44 , 131.00 , 748.44 , 176 , 446.32 ," 8,103.00 ", 63 , -   , -   , -   , 580.68 ," 8,888.42 ", 283 
19545,Black Hills Power Inc,MT,2012,5, 0.34 , 3.72 , 12 , 3.07 , 27.45 , 20 , 207.95 ," 4,427.47 ", 3 , -   , -   , -   , 211.35 ," 4,458.65 ", 35 
19603,USBIA-Mission Valley Power,MT,2012,5," 1,054.00 "," 15,111.00 "," 14,486 ", 658.00 ," 9,162.00 "," 6,321 ", -   , -   , -   , -   , -   , -   ," 1,712.00 "," 24,273.00 "," 20,807 "
20169,Avista Corp,MT,2012,5, 0.98 , 11.77 , 8 , 2.00 , 21.21 , 14 , -   , -   , -   , -   , -   , -   , 2.98 , 32.98 , 22 
20997,Yellowstone Valley Elec Co-op,MT,2012,5," 1,625.20 "," 12,163.98 "," 15,641 ", 474.25 ," 3,895.90 "," 1,427 ", 82.00 , 514.81 , 186 , -   , -   , -   ," 2,181.44 "," 16,574.69 "," 17,254 "
88888,Total EPM,MT,2012,5," 33,071.00 "," 326,337.00 "," 472,961 "," 35,038.00 "," 382,190.00 "," 101,466 "," 15,430.00 "," 310,269.00 "," 6,114 ", -   , -   , -   ," 83,538.00 "," 1,018,796.00 "," 580,541 "
0,Adjustment 2012,NC,2012,5," 128,589.27 "," 1,064,679.11 "," 1,159,941 "," 72,936.30 "," 707,793.18 "," 153,704 "," 23,959.71 "," 343,147.95 "," 1,528 ", (0.00), 0.04 , (1)," 225,485.27 "," 2,115,620.28 "," 1,315,172 "
3046,Progress Energy Carolinas Inc,NC,2012,5," 109,840.87 "," 1,101,166.78 "," 1,093,461 "," 94,254.85 "," 1,145,739.17 "," 189,222 "," 47,468.50 "," 744,866.12 "," 3,779 ", -   , -   , -   ," 251,564.22 "," 2,991,772.07 "," 1,286,462 "
5416,"Duke Energy Carolinas, LLC",NC,2012,5," 156,136.67 "," 1,503,703.98 "," 1,595,500 "," 153,113.93 "," 1,915,505.28 "," 263,166 "," 72,979.87 "," 1,174,586.78 "," 5,062 ", 47.50 , 591.84 , 1 ," 382,277.97 "," 4,594,387.87 "," 1,863,729 "
6235,Public Works Comm-City of Fayetteville,NC,2012,5," 6,203.00 "," 57,530.00 "," 70,708 "," 6,248.00 "," 67,894.00 "," 16,273 "," 1,477.00 "," 25,566.00 ", 18 , -   , -   , -   ," 13,928.00 "," 150,990.00 "," 86,999 "
9837,Jones-Onslow Elec Member Corp,NC,2012,5," 5,935.00 "," 52,701.00 "," 63,802 "," 1,670.00 "," 17,227.00 "," 4,973 ", 139.00 ," 1,699.00 ", 3 , -   , -   , -   ," 7,744.00 "," 71,627.00 "," 68,778 "
16496,Rutherford Elec Member Corp,NC,2012,5," 6,411.00 "," 54,809.00 "," 62,294 "," 1,168.00 "," 10,088.00 "," 4,996 "," 1,135.00 "," 14,145.00 ", 38 , -   , -   , -   ," 8,714.00 "," 79,042.00 "," 67,328 "
18642,Tennessee Valley Authority,NC,2012,5, -   , -   , -   , -   , -   , -   , 35.00 , 408.00 , 4 , -   , -   , -   , 35.00 , 408.00 , 4 
19876,Virginia Electric & Power Co,NC,2012,5," 11,154.25 "," 107,631.00 "," 100,989 "," 6,976.63 "," 80,211.00 "," 17,760 "," 7,367.60 "," 136,113.00 ", 50 , -   , -   , -   ," 25,498.48 "," 323,955.00 "," 118,799 "
24889,Brunswick Electric Member Corp,NC,2012,5," 8,170.00 "," 60,828.00 "," 80,733 "," 1,983.00 "," 20,723.00 "," 2,581 ", -   , -   , -   , -   , -   , -   ," 10,153.00 "," 81,551.00 "," 83,314 "
88888,Total EPM,NC,2012,5," 432,440.00 "," 4,003,049.00 "," 4,227,428 "," 338,351.00 "," 3,965,181.00 "," 652,675 "," 154,562.00 "," 2,440,532.00 "," 10,482 ", 48.00 , 592.00 , -   ," 925,400.00 "," 10,409,353.00 "," 4,890,585 "
0,Adjustment 2012,ND,2012,5," 3,472.43 "," 35,422.34 "," 44,616 "," 3,704.40 "," 47,190.79 "," 7,931 "," 7,358.47 "," 126,027.00 "," 1,392 ", -   , -   , -   ," 14,535.30 "," 208,640.13 "," 53,939 "
4717,Dakota Valley Elec Coop Inc,ND,2012,5, 609.78 ," 5,251.99 "," 5,194 ", 333.27 ," 3,535.59 ", 607 ," 1,859.10 "," 30,681.71 ", 348 , -   , -   , -   ," 2,802.14 "," 39,469.28 "," 6,149 "
12087,McKenzie Electric Coop Inc,ND,2012,5, 558.52 ," 6,057.03 "," 5,719 "," 1,739.06 "," 18,945.77 "," 1,882 "," 2,753.28 "," 43,409.84 ", 13 , -   , -   , -   ," 5,050.86 "," 68,412.64 "," 7,614 "
12090,"McLean Electric Coop, Inc",ND,2012,5, 307.00 ," 2,164.00 "," 3,087 ", 180.00 ," 1,341.00 ", 401 , 232.00 ," 3,855.00 ", 66 , -   , -   , -   , 719.00 ," 7,360.00 "," 3,554 "
12199,Montana-Dakota Utilities Co,ND,2012,5," 4,085.00 "," 48,595.00 "," 67,428 "," 5,468.00 "," 76,603.00 "," 12,762 ", 692.00 ," 11,995.00 ", 103 , -   , -   , -   ," 10,245.00 "," 137,193.00 "," 80,293 "
12301,Nodak Electric Coop Inc,ND,2012,5," 2,230.00 "," 19,546.00 "," 16,995 ", -   , -   , -   ," 3,713.00 "," 48,182.00 ", 501 , -   , -   , -   ," 5,943.00 "," 67,728.00 "," 17,496 "
13196,Northern Plains Electric Coop,ND,2012,5," 1,174.00 "," 12,842.00 "," 9,804 ", 405.00 ," 4,607.00 "," 1,425 ", 706.00 ," 10,909.00 ", 12 , -   , -   , -   ," 2,285.00 "," 28,358.00 "," 11,241 "
13694,"North Central Elec Coop, Inc",ND,2012,5, 569.67 ," 5,765.38 "," 5,876 ", 764.22 ," 8,535.57 "," 1,549 ", 23.46 , 365.78 , 4 , -   , -   , -   ," 1,357.35 "," 14,666.73 "," 7,429 "
13781,Northern States Power Co - Minnesota,ND,2012,5," 4,117.09 "," 45,698.17 "," 76,643 "," 6,419.93 "," 83,892.13 "," 12,347 "," 1,946.05 "," 31,466.17 ", 21 , -   , -   , -   ," 12,483.07 "," 161,056.47 "," 89,011 "
14232,Otter Tail Power Co,ND,2012,5," 3,068.91 "," 36,283.56 "," 44,555 "," 5,589.12 "," 76,015.23 "," 12,731 ", 319.78 ," 5,440.80 ", 2 , -   , -   , -   ," 8,977.80 "," 117,739.60 "," 57,288 "
19790,Verendrye Electric Coop Inc,ND,2012,5," 1,115.00 "," 10,919.00 "," 12,418 ", 815.00 ," 9,746.00 "," 1,567 ", 779.00 ," 13,607.00 ", 64 , -   , -   , -   ," 2,709.00 "," 34,272.00 "," 14,049 "
20413,Mountrail-Williams Elec Coop,ND,2012,5, 677.15 ," 8,518.04 "," 7,267 ", 678.71 ," 7,034.22 "," 2,231 "," 4,527.05 "," 59,958.98 "," 1,851 ", -   , -   , -   ," 5,882.91 "," 75,511.24 "," 11,349 "
24949,Cass County Elec Coop Inc,ND,2012,5," 3,450.00 "," 27,595.00 "," 32,372 "," 2,828.00 "," 28,547.00 "," 4,461 ", 896.00 ," 11,117.00 ", 21 , -   , -   , -   ," 7,174.00 "," 67,259.00 "," 36,854 "
55959,Roughrider Electric Cooperativ,ND,2012,5, 695.25 ," 7,426.34 "," 8,693 "," 1,537.30 "," 18,555.65 "," 2,946 "," 1,037.42 "," 14,376.81 ", 57 , -   , -   , -   ," 3,269.97 "," 40,358.81 "," 11,696 "
88888,Total EPM,ND,2012,5," 26,130.00 "," 272,084.00 "," 340,667 "," 30,462.00 "," 384,549.00 "," 62,840 "," 26,843.00 "," 411,392.00 "," 4,455 ", -   , -   , -   ," 83,434.00 "," 1,068,025.00 "," 407,962 "
0,Adjustment 2012,NE,2012,5," 18,128.74 "," 177,232.72 "," 201,154 "," 15,372.67 "," 180,852.15 "," 48,810 "," 21,132.62 "," 243,470.46 "," 30,123 ", -   , -   , -   ," 54,634.03 "," 601,555.32 "," 280,087 "
4373,Cornhusker Public Power Dist,NE,2012,5, 851.04 ," 7,397.08 "," 6,842 ", 488.55 ," 5,870.00 ", 432 ," 1,580.29 "," 11,547.73 "," 2,236 ", -   , -   , -   ," 2,919.88 "," 24,814.82 "," 9,510 "
4911,Dawson Power District,NE,2012,5," 1,254.00 "," 12,345.00 "," 15,502 ", 493.00 ," 5,707.00 "," 1,509 "," 1,249.00 "," 14,125.00 "," 5,597 ", -   , -   , -   ," 2,996.00 "," 32,177.00 "," 22,608 "
6779,City of Fremont - (NE),NE,2012,5, 683.00 ," 9,236.00 "," 12,688 ", 235.00 ," 3,055.00 "," 1,586 "," 1,026.00 "," 18,469.00 ", 468 , -   , -   , -   ," 1,944.00 "," 30,760.00 "," 14,742 "
8245,City of Hastings - (NE),NE,2012,5, 602.56 ," 6,921.02 "," 10,721 ", 639.00 ," 8,299.92 "," 2,320 "," 1,011.52 "," 18,294.84 ", 134 , -   , -   , -   ," 2,253.08 "," 33,515.77 "," 13,175 "
11018,Lincoln Electric System,NE,2012,5," 6,605.75 "," 81,569.00 "," 113,694 "," 9,321.17 "," 137,509.00 "," 15,964 "," 2,664.98 "," 44,103.00 ", 196 , -   , -   , -   ," 18,591.90 "," 263,181.00 "," 129,854 "
11251,Loup River Public Power Dist,NE,2012,5," 1,034.00 "," 12,665.00 "," 14,761 "," 1,250.00 "," 14,950.00 "," 3,982 "," 3,210.00 "," 57,293.00 ", 52 , -   , -   , -   ," 5,494.00 "," 84,908.00 "," 18,795 "
12539,Midwest Electric Member Corp,NE,2012,5, 255.91 ," 2,075.31 "," 3,158 ", 246.48 ," 2,779.57 "," 1,152 "," 1,261.02 "," 9,339.22 "," 1,952 ", -   , -   , -   ," 1,763.40 "," 14,194.10 "," 6,262 "
13337,Nebraska Public Power District,NE,2012,5," 5,984.00 "," 48,257.10 "," 69,312 "," 7,021.50 "," 81,540.00 "," 17,893 "," 5,686.90 "," 91,021.40 ", 810 , -   , -   , -   ," 18,692.40 "," 220,818.50 "," 88,015 "
13664,Norris Public Power District,NE,2012,5," 1,421.00 "," 14,591.00 "," 13,005 ", 450.00 ," 4,260.00 "," 3,540 "," 2,744.00 "," 39,939.00 "," 1,658 ", -   , -   , -   ," 4,615.00 "," 58,790.00 "," 18,203 "
14127,Omaha Public Power District,NE,2012,5," 21,731.00 "," 232,085.00 "," 307,606 "," 23,966.00 "," 295,142.00 "," 43,523 "," 20,933.00 "," 398,999.00 ", 210 , -   , -   , -   ," 66,630.00 "," 926,226.00 "," 351,339 "
17642,Southern Public Power District,NE,2012,5," 1,204.65 "," 12,887.87 "," 15,008 ", 242.51 ," 2,152.48 "," 2,344 "," 2,496.64 "," 40,903.76 "," 9,310 ", -   , -   , -   ," 3,943.80 "," 55,944.11 "," 26,662 "
27058,"High West Energy, Inc",NE,2012,5, 134.00 ," 1,131.00 "," 1,747 ", 77.00 , 740.00 , 61 , 993.00 ," 8,833.00 "," 1,177 ", -   , -   , -   ," 1,204.00 "," 10,704.00 "," 2,985 "
40606,City of Grand Island - (NE),NE,2012,5," 1,296.65 "," 13,375.03 "," 20,359 "," 1,231.75 "," 13,464.67 "," 4,304 "," 2,061.50 "," 27,987.46 ", 92 , -   , -   , -   ," 4,589.90 "," 54,827.16 "," 24,755 "
88888,Total EPM,NE,2012,5," 61,186.00 "," 631,768.00 "," 805,557 "," 61,035.00 "," 756,322.00 "," 147,420 "," 68,050.00 "," 1,024,326.00 "," 54,015 ", -   , -   , -   ," 190,271.00 "," 2,412,416.00 "," 1,006,992 "
0,Adjustment 2012,NH,2012,5, 917.60 ," 6,481.37 "," 14,710 "," 20,821.24 "," 176,997.51 "," 18,735 "," 14,114.43 "," 131,328.12 ", 883 , -   , -   , -   ," 35,853.27 "," 314,806.99 "," 34,328 "
13441,New Hampshire Elec Coop Inc,NH,2012,5," 5,262.00 "," 29,195.00 "," 68,138 "," 1,865.00 "," 12,118.00 "," 9,558 ", 44.00 , 524.00 , 5 , -   , -   , -   ," 7,171.00 "," 41,837.00 "," 77,701 "
15472,Public Service Co of NH,NH,2012,5," 36,010.68 "," 207,779.67 "," 420,072 "," 17,395.71 "," 105,269.28 "," 60,674 "," 3,138.79 "," 15,248.36 "," 2,365 ", -   , -   , -   ," 56,545.18 "," 328,297.32 "," 483,111 "
24590,Unitil Energy Systems,NH,2012,5," 4,905.99 "," 34,406.28 "," 63,852 "," 2,727.19 "," 18,372.00 "," 10,802 ", 438.30 ," 4,364.66 ", 37 , -   , -   , -   ," 8,071.48 "," 57,142.94 "," 74,691 "
26510,Granite State Electric Co,NH,2012,5," 2,435.76 "," 21,755.14 "," 35,691 "," 1,867.45 "," 20,658.00 "," 5,300 ", 184.98 ," 2,063.12 ", 176 , -   , -   , -   ," 4,488.18 "," 44,476.26 "," 41,167 "
88888,Total EPM,NH,2012,5," 49,532.00 "," 299,617.00 "," 602,463 "," 44,677.00 "," 333,415.00 "," 105,069 "," 17,920.00 "," 153,528.00 "," 3,466 ", -   , -   , -   ," 112,129.00 "," 786,561.00 "," 710,998 "
0,Adjustment 2012,NJ,2012,5," 48,795.03 "," 322,631.71 "," 493,850 "," 274,193.01 "," 2,262,778.90 "," 124,037 "," 65,650.93 "," 616,241.99 "," 3,805 "," 1,878.52 "," 20,954.61 ", 5 ," 390,517.48 "," 3,222,607.20 "," 621,697 "
963,Atlantic City Electric Co,NJ,2012,5," 37,769.90 "," 225,692.81 "," 409,447 "," 16,416.20 "," 103,359.55 "," 47,218 "," 1,784.96 "," 9,825.85 ", 622 , -   , -   , -   ," 55,971.06 "," 338,878.21 "," 457,287 "
9726,Jersey Central Power & Lt Co,NJ,2012,5," 79,179.58 "," 526,749.45 "," 820,475 "," 31,855.64 "," 220,841.94 "," 87,662 "," 2,548.49 "," 23,095.25 "," 1,412 ", -   , -   , -   ," 113,583.72 "," 770,686.63 "," 909,549 "
15477,Public Service Elec & Gas Co,NJ,2012,5," 141,411.00 "," 851,948.00 "," 1,665,579 "," 84,721.00 "," 620,861.00 "," 215,940 "," 3,994.00 "," 84,977.00 "," 6,718 ", 245.00 ," 2,888.00 ", 1 ," 230,371.00 "," 1,560,674.00 "," 1,888,238 "
16213,Rockland Electric Co,NJ,2012,5," 7,760.04 "," 49,241.34 "," 58,294 "," 4,912.90 "," 32,927.66 "," 7,393 ", 103.46 , 833.99 , 13 , -   , -   , -   ," 12,776.40 "," 83,002.98 "," 65,700 "
88888,Total EPM,NJ,2012,5," 314,916.00 "," 1,976,263.00 "," 3,447,645 "," 412,099.00 "," 3,240,769.00 "," 482,250 "," 74,082.00 "," 734,974.00 "," 12,570 "," 2,124.00 "," 23,843.00 ", 6 ," 803,220.00 "," 5,975,849.00 "," 3,942,471 "
0,Adjustment 2012,NM,2012,5," 11,617.79 "," 87,696.28 "," 177,202 "," 12,633.17 "," 138,926.41 "," 29,861 "," 10,737.77 "," 154,242.75 "," 2,709 ", -   , -   , -   ," 34,988.73 "," 380,865.44 "," 209,772 "
3287,"Central Valley Elec Coop, Inc",NM,2012,5, 373.32 ," 4,602.27 "," 5,183 ", 649.92 ," 6,486.17 "," 5,447 "," 3,214.64 "," 47,367.74 "," 3,417 ", -   , -   , -   ," 4,237.88 "," 58,456.18 "," 14,047 "
5701,El Paso Electric Co,NM,2012,5," 5,708.00 "," 46,925.00 "," 81,135 "," 7,814.00 "," 76,092.00 "," 10,660 ", 359.00 ," 5,255.00 ", 7 , -   , -   , -   ," 13,881.00 "," 128,272.00 "," 91,802 "
6204,City of Farmington - (NM),NM,2012,5," 1,460.41 "," 17,464.18 "," 34,204 "," 2,848.25 "," 34,557.97 "," 9,830 "," 1,715.78 "," 35,202.26 ", 7 , -   , -   , -   ," 6,024.44 "," 87,224.41 "," 44,041 "
11204,Los Alamos County,NM,2012,5, 491.21 ," 4,666.07 "," 8,126 ", 535.29 ," 5,821.99 ", 879 ," 2,575.83 "," 31,479.12 ", 3 , -   , -   , -   ," 3,602.33 "," 41,967.17 "," 9,008 "
13314,Navajo Tribal Utility Authority,NM,2012,5, 275.00 ," 2,745.00 "," 8,032 ", 478.00 ," 4,216.00 ", 782 , 43.00 , 217.00 , 145 , -   , -   , -   , 796.00 ," 7,178.00 "," 8,959 "
15473,Public Service Co of NM,NM,2012,5," 27,747.00 "," 236,503.00 "," 449,351 "," 35,254.00 "," 364,843.00 "," 55,897 "," 8,804.00 "," 152,485.00 ", 257 , -   , -   , -   ," 71,805.00 "," 753,831.00 "," 505,505 "
17718,Southwestern Public Service Co,NM,2012,5," 5,470.43 "," 79,931.00 "," 91,675 "," 8,556.03 "," 139,207.00 "," 23,148 "," 6,562.02 "," 158,204.00 ", 57 , -   , -   , -   ," 20,588.48 "," 377,342.00 "," 114,880 "
22690,Roosevelt County Elec Coop Inc,NM,2012,5, 242.00 ," 2,820.00 "," 3,735 ", 104.00 ," 1,031.00 ", 984 , 863.00 ," 10,228.00 "," 1,594 ", -   , -   , -   ," 1,209.00 "," 14,079.00 "," 6,313 "
88888,Total EPM,NM,2012,5," 53,385.00 "," 483,353.00 "," 858,643 "," 68,873.00 "," 771,182.00 "," 137,488 "," 34,875.00 "," 594,681.00 "," 8,196 ", -   , -   , -   ," 157,133.00 "," 1,849,215.00 "," 1,004,327 "
0,Adjustment 2012,NV,2012,5," 1,826.70 "," 17,422.50 "," 19,133 "," 4,163.09 "," 62,928.40 "," 3,574 "," 5,795.33 "," 118,557.07 "," 1,266 ", -   , -   , -   ," 11,785.12 "," 198,907.97 "," 23,973 "
2008,City of Boulder City - (NV),NV,2012,5, 484.97 ," 5,915.83 "," 6,816 ", 341.30 ," 3,196.79 ", 907 , -   , -   , -   , -   , -   , -   , 826.27 ," 9,112.62 "," 7,723 "
4356,Colorado River Comm of Nevada,NV,2012,5, -   , -   , -   ," 3,373.00 "," 74,063.00 ", 2 ," 1,362.00 "," 69,668.00 ", 5 , -   , -   , -   ," 4,735.00 "," 143,731.00 ", 7 
13073,"Mt Wheeler Power, Inc",NV,2012,5, 373.25 ," 5,013.76 "," 4,969 ", 222.43 ," 2,812.37 "," 1,588 "," 1,864.07 "," 33,406.58 ", 519 , -   , -   , -   ," 2,459.75 "," 41,232.71 "," 7,076 "
13407,Nevada Power Co,NV,2012,5," 95,552.00 "," 776,660.00 "," 745,682 "," 39,848.00 "," 420,551.00 "," 100,406 "," 43,955.00 "," 718,428.00 "," 1,599 ", 50.00 , 638.00 , 1 ," 179,405.00 "," 1,916,277.00 "," 847,688 "
17166,Sierra Pacific Power Co,NV,2012,5," 17,751.00 "," 153,245.00 "," 278,551 "," 24,091.00 "," 252,929.00 "," 44,653 "," 13,393.00 "," 231,554.00 ", 110 , -   , -   , -   ," 55,235.00 "," 637,728.00 "," 323,314 "
18260,Surprise Valley Electrificatio,NV,2012,5, 0.22 , 2.56 , 4 , 0.39 , 5.08 , 6 , -   , -   , -   , -   , -   , -   , 0.61 , 7.64 , 10 
19840,"Valley Electric Assn, Inc",NV,2012,5," 2,078.57 "," 16,273.50 "," 18,290 "," 1,065.68 "," 9,779.70 "," 2,190 ", 262.53 ," 2,752.01 ", 188 , -   , -   , -   ," 3,406.79 "," 28,805.21 "," 20,668 "
20332,Wells Rural Electric Co,NV,2012,5, 294.00 ," 3,167.00 "," 4,292 ", 301.00 ," 4,111.00 ", 865 ," 1,583.00 "," 51,622.00 ", 126 , -   , -   , -   ," 2,178.00 "," 58,900.00 "," 5,283 "
22814,Raft Rural Elec Coop Inc,NV,2012,5, 87.00 , 974.00 ," 1,462 ", 159.00 ," 2,635.00 ", 263 , 30.00 , 738.00 , 47 , -   , -   , -   , 276.00 ," 4,347.00 "," 1,772 "
88888,Total EPM,NV,2012,5," 118,448.00 "," 978,674.00 "," 1,079,199 "," 73,565.00 "," 833,011.00 "," 154,454 "," 68,245.00 "," 1,226,726.00 "," 3,860 ", 50.00 , 638.00 , 1 ," 260,308.00 "," 3,039,049.00 "," 1,237,514 "
0,Adjustment 2012,NY,2012,5," 128,292.47 "," 785,809.37 "," 1,450,020 "," 541,435.72 "," 3,904,401.89 "," 324,684 "," 56,900.30 "," 939,965.21 "," 5,267 "," 29,741.10 "," 208,741.55 ", 1 ," 756,369.59 "," 5,838,918.02 "," 1,779,972 "
3249,Central Hudson Gas & Elec Corp,NY,2012,5," 19,568.00 "," 115,141.00 "," 225,997 "," 8,203.00 "," 66,918.00 "," 34,703 ", 556.00 ," 5,817.00 ", 747 , -   , -   , -   ," 28,327.00 "," 187,876.00 "," 261,447 "
4226,Consolidated Edison Co-NY Inc,NY,2012,5," 183,212.00 "," 690,512.00 "," 2,174,768 "," 144,946.00 "," 723,627.00 "," 350,798 "," 1,430.00 "," 8,648.00 ", 103 , 34.00 , 198.00 , 3 ," 329,622.00 "," 1,422,985.00 "," 2,525,672 "
6369,Fishers Island Utility Co Inc,NY,2012,5, 142.87 , 308.54 , 656 , 38.85 , 127.37 , 110 , -   , -   , -   , -   , -   , -   , 181.72 , 435.91 , 766 
